id,appno,tradingname,town,postcode7,country_id,slaughterhouse,x,y,last_yr,last_mth
326,9023,Linden Foods Ltd,DUNGANNON ,BT701NJ,4,yes,,,2020,5
327,9033,ABP(Lurgan) Ltd,CRAIGAVON,BT679JD,4,yes,,,2020,5
328,9042,Foyle Omagh Ltd,OMAGH,BT790BQ,4,yes,,,2020,5
329,9045,Cranswick Country Foods (Ballymena),BALLYMENA,BT421EA,4,yes,,,2020,5
330,9052,Karro Food Group Ltd,COOKSTOWN ,BT808PJ,4,yes,,,2020,5
331,9056,W D Meats Ltd,COLERAINE,BT522JR,4,yes,,,2020,5
332,9080,Primestock Meats,Lurgan,BT679JD,4,yes,,,2020,5
333,9131,Lakeview Farm Meats Ltd,Crumlin,BT294RS,4,yes,,,2020,5
334,9502,Moy Park Ltd,DUNGANNON ,BT716LN,4,yes,,,2020,5
335,9508,H.K. Dickey(t/a Dickeys Poultry),Cullybackey,BT421EG,4,yes,,,2018,5
336,9509,Moy Park Ballymena,BALLYMENA       ,BT423HA,4,yes,,,2020,5
337,9518,McKeown Fine Foods Ltd,BALLYMENA,BT448RN,4,yes,,,2020,5
338,9552,Kearns Poultry,BALLYMENA ,BT449AA,4,yes,,,2020,5
339,9554,Rockvale Poultry,ARMAGH,BT619ND,4,yes,,,2020,5
340,GX401,State of Guernsey Abattoir,Guernsey,GY2 4JN,5,yes,,,2019,8
341,4014,Freemans of Newent Limited,Hereford,HR4 9PB,1,yes,,,2020,5
342,5001,Bernard Matthews Foods Ltd,Norwich,NR9 5QD,1,yes,,,2018,3
343,7132,Farmers Fresh (Wales) Limited,Wrexham,LL130TS,2,yes,337336.0,347909.0,2020,5
344,1598,Dunbia (UK),Saltcoats,,3,yes,,,2020,5
345,2100,Dunbia Carnaby,Bridlington,,1,yes,,,2020,5
346,2388,Dunbia Cumbria,Ulverston,,1,yes,,,2020,5
347,2630,Agro Foods (Ashford) Limited,Ashford,,1,yes,,,2019,8
348,4030,Northern Poultry UK Limited,Bolton,BL3 6AU,1,yes,,,2018,9
349,5106,Dunbia Cardington,Bedford,MK443SB,1,yes,508818.0,249106.0,2020,5
350,8046,Dunbia  Treburley,Launceston,,1,yes,,,2019,3
351,8071,Dunbia West Devon,Okehampton,,1,yes,,,2020,5
352,1216,Pasture-to-Plate,Gordon,,3,yes,,,2020,5
353,2450,AL UMMAH LIMITED,Barnsley,S72 9BG,1,yes,,,2020,5
354,2670,Manifold Valley Meats,Leek,ST137TT,1,yes,408365.0,353435.0,2020,5
355,4073,ABP ELLESMERE,Ellesmere,SY129BL,1,yes,339643.0,328883.0,2020,5
356,5264,Sweetland Ltd,Great Dunmow,CM6 1DA,1,yes,,,2019,1
357,1106,Kepak Group Limited,Aberdeen,,3,yes,,,2020,5
358,7176,Kepak Food Group Limited,Merthyr Tydfil,CF482TA,2,yes,307802.0,208695.0,2020,5
359,8073,Kepak Food Group Limited,Bodmin,PL312QB,1,yes,208344.0,67135.0,2018,10
360,2662,Norfolk Meat Traders Ltd,Banham,NR162BX,1,yes,604748.0,288767.0,2019,7
361,8073,St Merryn Bodmin,Bodmin,PL312QB,1,yes,208344.0,67135.0,2020,5
362,IOM1,Isle of Man Meats,Isle of Man,IM4 4QE,7,yes,,,2020,5
363,2399,Chai Meats Limited,Bradford,BD3 9RD,1,yes,,,2020,5
364,5218,Arthur J Howell & Son,Wells Next The Sea,NR231AN,1,yes,591678.0,343666.0,2020,5
365,7023,Cig Eryri - Snowdonia Meats Cyf,Blaenau Ffestiniog,LL414PY,2,yes,271610.0,340732.0,2020,5
366,4015,A.S. Audhali Farm Gate Fresh Poultry Limited,Hatton,CV357HZ,1,yes,422243.0,268854.0,2019,6
367,2368,J S Quality Meats Limited,Uttoxeter,ST145AA,1,yes,409599.0,334548.0,2020,5
368,2748,S and Y abattoir Ltd,Bacup,OL130ET,1,yes,385862.0,421772.0,2019,12
369,3007,Faccenda Foods Limited (T/A Avara Foods),Brackley,NN137EX,1,yes,459223.0,236768.0,2020,5
370,4015,Shafa Farm Limited,Hatton,CV357HZ,1,yes,422243.0,268854.0,2020,5
371,4026,Faccenda Foods Limited (T/A Avara Foods),Scropton,DE655PS,1,yes,419934.0,330053.0,2020,5
372,7226,Picton Quality Meats Limited,Pembrokeshire,SA624BS,2,yes,196290.0,218525.0,2019,8
373,2662,Moor Farm Meats Limited,Banham,NR162BX,1,yes,604748.0,288767.0,2020,3
374,4199,Leansale Limited (TA Roopyal Laham Halaal Butchers),Birmingham,B11 4AA,1,yes,,,2020,5
375,4227,Manchester Abattoir Ltd,Stockport,SK4 1BJ,1,yes,,,2020,5
376,9301,DMP Foods Ltd,Crumlin,BT294RS,4,yes,,,2020,5
377,7226,Euro Farm Wales,Pembrokeshire,SA624BS,2,yes,196290.0,218525.0,2020,5
378,2750,Cranswick Country Foods Eye,Yaxley,IP238BW,1,yes,612907.0,274817.0,2020,5
379,5008,Shazan Foods Limited,Eye,IP237AJ,1,yes,614371.0,273759.0,2020,5
380,1100,2 Sisters Food Group Ltd,Coupar Angus,,3,yes,,,2020,5
381,2762,H M Venison Ltd,Barnsley,S75 3DR,1,yes,,,2020,5
382,2761,Westcountry Premium Venison Ltd,Launceston,PL158QN,1,yes,220362.0,84902.0,2020,5
383,2768,Farm Fresh Quality Foods Co. Ltd,Ashford,TN270JL,1,yes,595437.0,148950.0,2020,5
384,1160,Millers of Speyside,Grantown-on-Spey,,3,yes,,,2020,5
