appno,yr,mth,abattoir_id
1101,2018,1,4
1101,2018,2,4
1101,2018,3,4
1101,2018,4,4
1101,2018,5,4
1101,2018,6,4
1101,2018,7,4
1101,2018,8,4
1101,2018,9,4
1101,2018,10,4
1101,2018,11,4
1101,2018,12,4
1101,2019,1,4
1101,2019,2,4
1101,2019,3,4
1101,2019,4,4
1101,2019,5,4
1101,2019,6,4
1101,2019,7,4
1101,2019,8,4
1101,2019,9,4
1101,2019,10,4
1101,2019,11,4
1101,2019,12,4
1101,2020,1,4
1101,2020,2,4
1101,2020,3,4
1101,2020,4,4
1101,2020,5,4
1101,2020,6,4
1101,2020,7,4
1101,2020,8,4
1101,2020,9,4
1101,2020,10,4
1101,2020,11,4
1101,2020,12,4
1101,2021,1,4
1101,2021,2,4
1101,2021,3,4
1101,2021,4,4
1101,2021,5,4
1101,2021,6,4
1101,2021,7,4
1101,2021,8,4
1101,2021,9,4
1101,2021,10,4
1101,2021,11,4
1101,2021,12,4
1101,2022,1,4
1101,2022,2,4
1101,2022,3,4
1101,2022,4,4
1103,2018,1,5
1103,2018,2,5
1103,2018,3,5
1103,2018,4,5
1103,2018,5,5
1103,2018,6,5
1103,2018,7,5
1103,2018,8,5
1103,2018,9,5
1103,2018,10,5
1103,2018,11,5
1103,2018,12,5
1103,2019,1,5
1103,2019,2,5
1103,2019,3,5
1103,2019,4,5
1103,2019,5,5
1103,2019,6,5
1103,2019,7,5
1103,2019,8,5
1103,2019,9,5
1103,2019,10,5
1103,2019,11,5
1103,2019,12,5
1103,2020,1,5
1103,2020,2,5
1103,2020,3,5
1103,2020,4,5
1103,2020,5,5
1103,2020,6,5
1103,2020,7,5
1103,2020,8,5
1103,2020,9,5
1103,2020,10,5
1103,2020,11,5
1103,2020,12,5
1103,2021,1,5
1103,2021,2,5
1103,2021,3,5
1103,2021,4,5
1103,2021,5,5
1103,2021,6,5
1103,2021,7,5
1103,2021,8,5
1103,2021,9,5
1103,2021,10,5
1103,2021,11,5
1103,2021,12,5
1103,2022,1,5
1103,2022,2,5
1103,2022,3,5
1103,2022,4,5
1106,2018,1,6
1106,2018,2,6
1106,2018,3,6
1106,2018,4,6
1106,2018,5,6
1106,2018,6,6
1106,2018,7,6
1106,2018,8,6
1106,2018,9,411
1106,2018,10,411
1106,2018,11,411
1106,2018,12,411
1106,2019,1,411
1106,2019,2,411
1106,2019,3,411
1106,2019,4,411
1106,2019,5,411
1106,2019,6,411
1106,2019,7,411
1106,2019,8,411
1106,2019,9,411
1106,2019,10,411
1106,2019,11,411
1106,2019,12,411
1106,2020,1,411
1106,2020,2,411
1106,2020,3,411
1106,2020,4,411
1106,2020,5,411
1106,2020,6,411
1106,2020,7,411
1106,2020,8,411
1106,2020,9,411
1106,2020,10,411
1106,2020,11,411
1106,2020,12,411
1106,2021,1,411
1106,2021,2,411
1106,2021,3,411
1106,2021,4,411
1106,2021,5,411
1106,2021,6,411
1106,2021,7,411
1106,2021,8,411
1106,2021,9,411
1106,2021,10,411
1106,2021,11,411
1106,2021,12,411
1106,2022,1,411
1106,2022,2,411
1106,2022,3,411
1106,2022,4,411
1118,2018,1,7
1118,2018,2,7
1118,2018,3,7
1118,2018,4,7
1118,2018,5,7
1118,2018,6,7
1118,2018,7,7
1118,2018,8,7
1118,2018,9,7
1118,2018,10,7
1118,2018,11,7
1118,2018,12,7
1118,2019,1,7
1118,2019,2,7
1118,2019,3,7
1118,2019,4,7
1118,2019,5,7
1118,2019,6,7
1118,2019,7,7
1118,2019,8,7
1118,2019,9,7
1118,2019,10,7
1118,2019,11,7
1118,2019,12,7
1118,2020,1,7
1118,2020,2,7
1118,2020,3,7
1118,2020,4,7
1118,2020,5,7
1118,2020,6,7
1118,2020,7,7
1118,2020,8,7
1118,2020,9,7
1118,2020,10,7
1118,2020,11,7
1118,2020,12,7
1118,2021,1,7
1118,2021,2,7
1118,2021,3,7
1118,2021,4,7
1118,2021,5,7
1118,2021,6,7
1118,2021,7,7
1118,2021,8,7
1118,2021,9,7
1118,2021,10,7
1118,2021,11,7
1118,2021,12,7
1118,2022,1,7
1118,2022,2,7
